2023-09-01 22:08:32,417 INFO    StreamThr :15186 [internal.py:wandb_internal():86] W&B internal server running at pid: 15186, started at: 2023-09-01 22:08:32.415737
2023-09-01 22:08:32,419 DEBUG   HandlerThread:15186 [handler.py:handle_request():144] handle_request: status
2023-09-01 22:08:32,421 INFO    WriterThread:15186 [datastore.py:open_for_write():85] open: /home2/jainit/ANLP-A1/src/wandb/run-20230901_220825-m3dl2qvy/run-m3dl2qvy.wandb
2023-09-01 22:08:32,425 DEBUG   SenderThread:15186 [sender.py:send():379] send: header
2023-09-01 22:08:32,425 DEBUG   SenderThread:15186 [sender.py:send():379] send: run
2023-09-01 22:08:33,324 INFO    SenderThread:15186 [dir_watcher.py:__init__():211] watching files in: /home2/jainit/ANLP-A1/src/wandb/run-20230901_220825-m3dl2qvy/files
2023-09-01 22:08:33,324 INFO    SenderThread:15186 [sender.py:_start_run_threads():1121] run started: m3dl2qvy with start time 1693586311.581016
2023-09-01 22:08:33,331 DEBUG   SenderThread:15186 [sender.py:send_request():406] send_request: summary_record
2023-09-01 22:08:33,332 INFO    SenderThread:15186 [sender.py:_save_file():1375] saving file wandb-summary.json with policy end
2023-09-01 22:08:33,353 DEBUG   HandlerThread:15186 [handler.py:handle_request():144] handle_request: check_version
2023-09-01 22:08:33,354 DEBUG   SenderThread:15186 [sender.py:send_request():406] send_request: check_version
2023-09-01 22:08:34,340 INFO    Thread-181:15186 [dir_watcher.py:_on_file_created():271] file/dir created: /home2/jainit/ANLP-A1/src/wandb/run-20230901_220825-m3dl2qvy/files/wandb-summary.json
2023-09-01 22:08:34,346 DEBUG   HandlerThread:15186 [handler.py:handle_request():144] handle_request: run_start
2023-09-01 22:08:34,351 DEBUG   HandlerThread:15186 [system_info.py:__init__():31] System info init
2023-09-01 22:08:34,351 DEBUG   HandlerThread:15186 [system_info.py:__init__():46] System info init done
2023-09-01 22:08:34,351 INFO    HandlerThread:15186 [system_monitor.py:start():181] Starting system monitor
2023-09-01 22:08:34,352 INFO    SystemMonitor:15186 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-09-01 22:08:34,352 INFO    HandlerThread:15186 [system_monitor.py:probe():201] Collecting system info
2023-09-01 22:08:34,353 INFO    SystemMonitor:15186 [interfaces.py:start():190] Started cpu monitoring
2023-09-01 22:08:34,353 INFO    SystemMonitor:15186 [interfaces.py:start():190] Started disk monitoring
2023-09-01 22:08:34,355 INFO    SystemMonitor:15186 [interfaces.py:start():190] Started gpu monitoring
2023-09-01 22:08:34,356 INFO    SystemMonitor:15186 [interfaces.py:start():190] Started memory monitoring
2023-09-01 22:08:34,358 INFO    SystemMonitor:15186 [interfaces.py:start():190] Started network monitoring
2023-09-01 22:08:34,401 DEBUG   HandlerThread:15186 [system_info.py:probe():195] Probing system
2023-09-01 22:08:34,402 DEBUG   HandlerThread:15186 [system_info.py:_probe_git():180] Probing git
2023-09-01 22:08:34,436 DEBUG   HandlerThread:15186 [system_info.py:_probe_git():188] Probing git done
2023-09-01 22:08:34,436 DEBUG   HandlerThread:15186 [system_info.py:probe():240] Probing system done
