2023-09-01 21:29:09,191 INFO    MainThread:1896 [wandb_setup.py:_flush():76] Current SDK version is 0.15.9
2023-09-01 21:29:09,192 INFO    MainThread:1896 [wandb_setup.py:_flush():76] Configure stats pid to 1896
2023-09-01 21:29:09,192 INFO    MainThread:1896 [wandb_setup.py:_flush():76] Loading settings from /home2/jainit/.config/wandb/settings
2023-09-01 21:29:09,192 INFO    MainThread:1896 [wandb_setup.py:_flush():76] Loading settings from /home2/jainit/ANLP-A1/src/wandb/settings
2023-09-01 21:29:09,192 INFO    MainThread:1896 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-09-01 21:29:09,192 INFO    MainThread:1896 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-09-01 21:29:09,192 INFO    MainThread:1896 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-09-01 21:29:09,192 INFO    MainThread:1896 [wandb_init.py:_log_setup():524] Logging user logs to /home2/jainit/ANLP-A1/src/wandb/run-20230901_212909-6q6sz45f/logs/debug.log
2023-09-01 21:29:09,192 INFO    MainThread:1896 [wandb_init.py:_log_setup():525] Logging internal logs to /home2/jainit/ANLP-A1/src/wandb/run-20230901_212909-6q6sz45f/logs/debug-internal.log
2023-09-01 21:29:09,192 INFO    MainThread:1896 [wandb_init.py:init():564] calling init triggers
2023-09-01 21:29:09,192 INFO    MainThread:1896 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'epochs': 50, 'optimizer': 'Adam', 'batch_size': 128}
2023-09-01 21:29:09,193 INFO    MainThread:1896 [wandb_init.py:init():588] re-initializing run, found existing run on stack: mzovybvt
2023-09-01 21:29:09,196 INFO    MainThread:1896 [wandb_run.py:_finish():1894] finishing run jain_it/NNLM/mzovybvt
2023-09-01 21:29:09,198 ERROR   MainThread:1896 [jupyter.py:save_history():437] Run pip install nbformat to save notebook history
2023-09-01 21:29:09,198 INFO    MainThread:1896 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-01 21:29:09,198 INFO    MainThread:1896 [wandb_init.py:_jupyter_teardown():452] cleaning up jupyter logic
2023-09-01 21:29:09,198 INFO    MainThread:1896 [wandb_run.py:_atexit_cleanup():2128] got exitcode: 0
2023-09-01 21:29:09,199 INFO    MainThread:1896 [wandb_run.py:_restore():2111] restore
2023-09-01 21:29:09,199 INFO    MainThread:1896 [wandb_run.py:_restore():2117] restore done
2023-09-01 21:29:16,699 INFO    MainThread:1896 [wandb_init.py:init():613] starting backend
2023-09-01 21:29:16,700 INFO    MainThread:1896 [wandb_init.py:init():617] setting up manager
2023-09-01 21:29:16,703 INFO    MainThread:1896 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-09-01 21:29:16,703 INFO    MainThread:1896 [wandb_init.py:init():623] backend started and connected
2023-09-01 21:29:16,708 INFO    MainThread:1896 [wandb_run.py:_label_probe_notebook():1234] probe notebook
2023-09-01 21:29:16,708 INFO    MainThread:1896 [wandb_run.py:_label_probe_notebook():1244] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-09-01 21:29:16,708 INFO    MainThread:1896 [wandb_init.py:init():714] updated telemetry
2023-09-01 21:29:16,814 INFO    MainThread:1896 [wandb_init.py:init():747] communicating run to backend with 60.0 second timeout
